股票代码,股票名称,历史最高日期,距今交易日数,历史最高,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
688256,寒武纪,2024-11-21,5,525.0,159,688256,寒武纪-U,525.92,8.24,40.02,86619.0,4415631212.0,9.6,526.66,480.0,482.0,485.9,1.11,2.07,-227.28,42.73,219548855538.0,219548855538,0.18,0.38,112.73,289.69
300459,汤姆猫,2024-11-26,2,7.33,14,300459,汤姆猫,7.68,20.0,1.28,10218019.0,7152730923.06,24.06,7.68,6.14,6.15,6.4,1.34,32.25,242.49,8.1,27001428012.0,24329788278,0.0,0.0,125.22,55.47
002195,岩山科技,2024-11-26,2,3.74,5256,002195,岩山科技,3.68,-1.6,-0.06,6526713.0,2389944822.28,8.02,3.83,3.53,3.8,3.74,2.13,11.63,370.29,2.14,20908084113.0,20656020364,0.27,0.27,62.83,20.26
600641,万业企业,2024-11-14,10,20.18,75,600641,万业企业,20.65,10.02,1.88,479978.0,958290839.0,13.53,20.65,18.11,18.8,18.77,2.12,5.16,-455.01,2.31,19217507848.0,19217507848,0.0,0.0,107.54,19.99
600787,中储股份,2024-11-19,7,7.57,440,600787,中储股份,7.37,4.54,0.32,3169776.0,2305864686.0,15.04,7.76,6.7,6.92,7.05,1.42,14.61,31.25,1.17,16029400515.0,15993486519,1.66,1.8,63.41,48.29
002400,省广集团,2024-11-26,2,8.78,1776,002400,省广集团,8.68,1.64,0.14,4063875.0,3369788699.48,13.35,8.9,7.76,8.02,8.54,1.09,23.54,124.41,3.08,15132166271.0,14983108884,2.12,3.83,85.87,57.25
603366,日出东方,2024-11-26,2,17.23,82,603366,日出东方,18.35,10.01,1.67,1260347.0,2220541264.0,14.99,18.35,15.85,17.18,16.68,0.9,15.5,166.4,3.74,14923651318.0,14919432653,0.0,0.0,391.96,198.37
000712,锦龙股份,2024-10-09,36,16.27,109,000712,锦龙股份,16.3,9.99,1.48,1122276.0,1749128330.44,9.92,16.3,14.83,14.94,14.82,2.09,12.54,-114.15,6.11,14604800000.0,14590977193,0.0,0.0,62.03,11.11
600776,东方通信,2024-10-31,20,13.07,77,600776,东方通信,14.17,10.02,1.29,1241184.0,1691738849.0,10.02,14.17,12.88,13.18,12.88,3.86,12.98,128.8,5.15,17797520907.0,13546520907,0.0,0.0,60.11,26.18
002467,二六三,2024-11-26,2,7.35,55,002467,二六三,8.09,10.07,0.74,7389883.0,5710129092.76,16.05,8.09,6.91,7.66,7.35,6.54,54.2,129.38,5.91,11126758453.0,11029717446,0.0,0.0,149.69,74.35
600410,华胜天成,2024-11-26,2,8.37,64,600410,华胜天成,9.21,10.04,0.84,1564703.0,1440571422.0,2.27,9.21,9.02,9.21,8.37,1.15,14.27,-35.39,2.47,10098716030.0,10098716030,0.0,0.0,151.64,37.05
